dataset,newspaper_title,issue_id,issue_date,page_number,article_id,article_title,article_text_1st50words,matched_terms,url
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470816-1,16 August 1947,5,maltribune19470816-1.2.41,Chinese Greetings,"Chinese Greetings Tho Singapore Office Of the China Democratic League has sent the message to Mr. John A. Thivy, Representa ttve of tho Government of India •On the occasion of the inauguration of the Dominions of India and Pakistan which will lay the toundiU'on for the liberation of the 400-million",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470816-1.2.41
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460316-1,16 March 1946,2/3,maltribune19460316-1.2.33,Untitled,"All those who have enrolled themselves in the Singapore General Labour Union, Indian New Democratic League and I.N.A. Defence and Relief Committee in connection with Pandit Nehru's visit, are requested to assemble at the Singapore General Labour Union premises in Short Street, on Saturday at 5 p.m.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460316-1.2.33
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480217-1,17 February 1948,3,maltribune19480217-1.2.59,POLITICAL EVOLUTION OF MALAYA HAS BEGUN,"POLITICAL EVOLUTION OF MALAYA HAS BEGUN (From Our Own Reporter) MALACCA. Feb. 16. The new China Democratic League of Malacca held an extraordinary meeting today at which the new political status of Malaya was discussed. The Chairman of the meeting. Mr. Chin Koon Yeow, at the conclusion of the deliberations,",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480217-1.2.59
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470818-1,18 August 1947,8,maltribune19470818-1.2.114,Peace Necessary,"Peace Necessary U.P. SHANGHAI, Aug. 17. The well-kn &gt;wn philosopher Chang Tung Sun. secretary general oi the Democratic League v/liich reiused to participate in the preterit government and concurrently leader of the reform grou|i in the Democratic Socialist party, asserted today that ""United States aid to China will only be",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470818-1.2.114
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19471118-1,18 November 1947,5,maltribune19471118-1.2.63,CONCESSION TO BANNED LEAGUE,"CONCESSION TO BANNED LEAGUE Reuter—AAP. NANKING. Nov. 17.—An important member of the Kuomintang said last night that the Kuomintang party would consider a request by the outlawed Democratic League to form a new party and would promise every assistance t v former League memtors. qY The new party, when formed",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19471118-1.2.63
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470819-1,19 August 1947,3,maltribune19470819-1.2.41,Chinese seek release of Author in Sumatra,Chinese seek release of Author in Sumatra (Tribune Staff Reporter) Tne China Democratic League in SingaDCre has just approached the Dutch Consul-General here. Mr. A. M. L. Wmkelman to mediate for the release of the famous Chinese author Wang Jen Su. who was arrested in Sumatra by the Dutch military,China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470819-1.2.41
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460319-1,19 March 1946,4/1,maltribune19460319-1.2.5,Indians Desire An Education Centre,"Indians Desire An Education Centre In East Asia and particularly in Malaya the political awakening of Indian Youth has been unique, states a memorandum submitted to Panditji Nehru by the New Democratic League of Indians. But without any organised effort the spirit is likely to die out; the ushering in",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460319-1.2.5
Sunday Tribune 1945-1950,Sunday Tribune (Singapore),sundaytribune19471102-1,2 November 1947,2,sundaytribune19471102-1.2.45,"S'pore Branch Of, C. D. L. To Continue, Despite Nanking Ban","S'pore Branch Of, C. D. L. To Continue, Despite Nanking Ban (Sunday Tribune Staff Reporter) ihe decision to continue the activities of the China Democratic League was unanimously agreed upon m an emergency meeting of the Sending Commit cc of the Malayan Branch Headquarters hold m Singapi.e following the announcement",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/sundaytribune19471102-1.2.45
Morning Tribune 1946-1949,Morning Tribune,morningtribune19470820-1,20 August 1947,7,morningtribune19470820-1.2.45,Chinese seek release of Author in Sumatra,"Chinese seek release of Author in Sumatra (Tribune Staft 1 Reporter) Th» n a Democratic League m Singapore has. just ap iched the Dutch Consul-General her Mr. A. M. L Wmkelman, to m.-diate for the release of the t;tm &gt;us Chinese author Wang Jen Su. who was arrested m Sumatra",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19470820-1.2.45
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19460320-1,20 March 1946,2,indiandailymail19460320-1.2.4,China's Charter Of Freedom,"China's Charter Of Freedom C himgkingi March 18. -A charter of freedom for the national reconstruction of China has been drawn up by an All Party Conference, comprising representatives of the Communist, the Democratic League and Youth Party as well as those of President Chiang Kai-shek's government! writes Doom Campbell,",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460320-1.2.4
