_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
C,,129-090000-4606,張志讓,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 沈鈞儒,人物擦邊（ 沈鈞儒），時段 不明,129000044606A,129-090000-4606
A,,129-100000-0239,章伯鈞,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟; 羅隆基; 章伯鈞,題名直接命中「章伯鈞」+ 國家核心全宗（日期待現場確認）,129000045239A,129-100000-0239
C,,129-100000-0242,馬敍倫,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000045242A,129-100000-0242
C,1905,129-100000-0582,黃藥眠,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟; 章伯鈞,時段錯位（1905），早於民盟前身成立,129000045582A,129-100000-0582
C,1903,129-100000-0596,李文宜,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1903），早於民盟前身成立,129000045596A,129-100000-0596
C,,129-100000-1170,許傑,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000046170A,129-100000-1170
C,1904,129-100000-1634,沙千里,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 沈鈞儒,時段錯位（1904），早於民盟前身成立,129000046634A,129-100000-1634
C,1900,129-100000-2525,楚圖南,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1900），早於民盟前身成立,129000047525A,129-100000-2525
C,,129-100000-2583,陳此生,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000047583A,129-100000-2583
C,,129-100000-2588,季方,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 章伯鈞,人物擦邊（ 章伯鈞），時段 不明,129000047588A,129-100000-2588
C,,129-100000-3956,陳秋安,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000048956A,129-100000-3956
C,,129-100000-4223,沈子修,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000049223A,129-100000-4223
C,,129-100000-4901,楊希堯,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000049901A,129-100000-4901
C,1911,129-100000-4912,任謙,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1911），早於民盟前身成立,129000049912A,129-100000-4912
C,,129-100000-4923,楊明軒,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000049923A,129-100000-4923
C,,129-110000-0124,史鼎新,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000050124A,129-110000-0124
C,,129-110000-0408,彭文應,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000050408A,129-110000-0408
C,,129-110000-0505,聶國青,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000050505A,129-110000-0505
