identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp80-00809a000700040611-7,CIA Reading Room cia-rdp80-00809a000700040611-7: COMMUNIST TAKE-OVER AND SOVIET PENETRATION IN SINKIANG,1952-03-04,1952,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700040611-7
cia-readingroom-document-02016343,CIA Reading Room 02016343: CURRENT INTELLIGENCE BULLETIN - 1952/03/15,1952-03-15,1952,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-02016343
cia-readingroom-document-cia-rdp80-00809a000700050219-2,CIA Reading Room cia-rdp80-00809a000700050219-2: SPREADING AND INTENSIFYING THE POLITICAL EDUCATION DRIVE IN CHINA,1952-03-19,1952,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700050219-2
cia-readingroom-document-cia-rdp80-00809a000700060173-2,CIA Reading Room cia-rdp80-00809a000700060173-2: TREATMENT OF RELIGIOUS REFORM MOVEMENT BY CHINESE COMMUNIST PRESS DURING 1951,1952-05-12,1952,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700060173-2
cia-readingroom-document-cia-rdp82-00039r000200040002-4,CIA Reading Room cia-rdp82-00039r000200040002-4: REBIRTH OF THE SHANGHAI ELECTRIC MACHINE INDUSTRY,1952-05-26,1952,"""Political Consultative"" 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00039r000200040002-4
cia-readingroom-document-cia-rdp79r01012a001600010002-3,CIA Reading Room cia-rdp79r01012a001600010002-3: THE PROBABLE FUTURE ORIENTATION OF JAPAN,1952-05-29,1952,"""third force"" China; Coalition Government China 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a001600010002-3
cia-readingroom-document-cia-rdp79t01146a001000140001-2,CIA Reading Room cia-rdp79t01146a001000140001-2: CURRENT INTELLIGENCE DIGEST,1952-06-02,1952,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a001000140001-2
cia-readingroom-document-cia-rdp82-00039r000200060003-1,CIA Reading Room cia-rdp82-00039r000200060003-1: HIGH TIDE OF PATRIOTISM SURGES THROUGHOUT THE LAND,1952-06-20,1952,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00039r000200060003-1
cia-readingroom-document-cia-rdp80-00809a000700070291-0,CIA Reading Room cia-rdp80-00809a000700070291-0: NORTHEAST AGRICULTURE EXPANDS RAPIDLY UNDER CCP LEADERSHIP,1952-07-10,1952,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700070291-0
cia-readingroom-document-cia-rdp79t01146a001100230001-1,CIA Reading Room cia-rdp79t01146a001100230001-1: CURRENT INTELLIGENCE DIGEST,1952-07-28,1952,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a001100230001-1
cia-readingroom-document-02119060,"CIA Reading Room 02119060: PROGRESS REPORT ON THE NATIONAL PSYCHOLOGICAL EFFORT FOR THE PERIOD JULY 1, 1952, THROUGHT SEPTEMBER 30, 1952",1952-10-30,1952,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02119060
cia-readingroom-document-cia-rdp80b01676r002300110031-3,CIA Reading Room cia-rdp80b01676r002300110031-3: DEPUTIES' MEETING,1952-11-14,1952,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80b01676r002300110031-3
cia-readingroom-document-cia-rdp80-00809a000700090420-4,CIA Reading Room cia-rdp80-00809a000700090420-4: THE CEMA AND ECONOMIC COOPERATION BETWEEN THE USSR AND THE PEOPLE'S DEMOCRACIES,1952-11-26,1952,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700090420-4
