doc_key,grade,score,needs_review,reason
frus1948v07/d212,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1948v07/d235,核心文献,59,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、新政协；文本信息量较高
frus1948v07/d268,核心文献,64,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领；文本信息量较高
frus1948v07/d334,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1948v07/d351,核心文献,64,0,组织词出现 4 次；涉及组织定位、政治纲领；文本信息量较高
frus1948v07/d387,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1948v07/d458,核心文献,71,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领、压制/解散；文本信息量较高
frus1948v07/d514,核心文献,69,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、政协/谈判；文本信息量较高
frus1948v07/d584,核心文献,61,0,组织词出现 1 次；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1948v08/d299,相关文献,35,0,组织词出现 1 次；命中民盟关键人物；文本信息量较高
frus1948v08/d839,相关文献,49,0,组织词出现 1 次；涉及组织定位、政治纲领；文本信息量较高
frus1949v08/d3,核心文献,86,0,组织词出现 6 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d10,核心文献,59,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、新政协
frus1949v08/d33,核心文献,61,0,组织词出现 1 次；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d93,相关文献,54,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政协/谈判
frus1949v08/d112,核心文献,61,0,组织词出现 1 次；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d114,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1949v08/d121,核心文献,75,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1949v08/d180,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d232,相关文献,52,0,组织词出现 9 次；涉及组织定位；文本信息量较高
frus1949v08/d364,核心文献,86,0,组织词出现 4 次；命中民盟关键人物；涉及组织定位、压制/解散、新政协；文本信息量较高
frus1949v08/d406,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1949v08/d415,相关文献,44,0,组织词出现 1 次；涉及组织定位、新政协
frus1949v08/d427,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、新政协；文本信息量较高
frus1949v08/d429,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v08/d438,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1949v08/d444,核心文献,76,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协
frus1949v08/d446,核心文献,86,0,组织词出现 4 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1949v08/d459,核心文献,59,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、新政协；文本信息量较高
frus1949v08/d466,核心文献,71,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政协/谈判、新政协
